date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:37	656/656	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2015:34:39%20GMT	http://69662.getgiftcards.org/robots.txt		(from )
23:34:38	99582/99582	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:40%20GMT	http://69662.getgiftcards.org/	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/index.html	(from )
23:34:39	12876/12876	---M--	200	added ('OK')	image/png	etag:%22346c7537268d5f640b56aafc0fb82408%22	http://i.imgur.com/gih1Rf7.png	C:/My%20Web%20Sites/FreeGiftCards%20LP/i.imgur.com/gih1Rf7.png	(from http://69662.getgiftcards.org/)
23:34:42	53865/53865	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:43%20GMT	http://69662.getgiftcards.org/?card=googleplay	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/indexc690.html	(from http://69662.getgiftcards.org/)
23:34:42	51195/51195	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:43%20GMT	http://69662.getgiftcards.org/?card=xbox	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/indexe129.html	(from http://69662.getgiftcards.org/)
23:34:44	39162/39162	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20Jan%202017%2021:58:48%20GMT	http://getgiftcards.org/resources/plugins.js	C:/My%20Web%20Sites/FreeGiftCards%20LP/getgiftcards.org/resources/plugins.js	(from http://69662.getgiftcards.org/)
23:34:45	90301/90301	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:43%20GMT	http://69662.getgiftcards.org/?card=steam	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/index0249.html	(from http://69662.getgiftcards.org/)
23:34:48	95066/95066	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:45%20GMT	http://69662.getgiftcards.org/?card=microsoft	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/indexb00d.html	(from http://69662.getgiftcards.org/)
23:34:49	92137/92137	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:48%20GMT	http://69662.getgiftcards.org/?card=playstation	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/index596f.html	(from http://69662.getgiftcards.org/)
23:34:49	89877/89877	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:48%20GMT	http://69662.getgiftcards.org/?card=itunes	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/index4f9e.html	(from http://69662.getgiftcards.org/)
23:34:50	8699/8699	---M--	200	added ('OK')	image/png	etag:%22ce1e3f36cf68f33dbd0fbdec9dd3805a%22	http://i.imgur.com/j7Ub8Zr.png	C:/My%20Web%20Sites/FreeGiftCards%20LP/i.imgur.com/j7Ub8Zr.png	(from http://69662.getgiftcards.org/?card=googleplay)
23:34:54	92409/92409	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:34:52%20GMT	http://69662.getgiftcards.org/?card=skype	C:/My%20Web%20Sites/FreeGiftCards%20LP/69662.getgiftcards.org/index35a8.html	(from http://69662.getgiftcards.org/)
